userName,score,at,content
Syara Fitria,3,2021-02-12 06:31:50,"Maaf saya turunin bintangnya, dulu lancar aja pernah narik sekali. Setelah update status studi habis terus popquest juga ga bisa diklik"
sry wulan fattonah,1,2021-02-12 05:19:04,"Maaf saya kasih bintang satu, soalnya udah dua minggu mengisi studi harunya bisa mengisi polling tapi udah dua minggu ini gak bisa... dulu populix sangat rekomen banget tapi sayang sekarang malah seperti ini... Tolong pihak populix perbaiki lagi"
Imellia Sari,1,2021-02-12 03:10:21,Udahhh uninstall aja aplikasinya udah ga ada studi mingguan pula padahal dah full ngisi studi hariannya.. Update versi baru malah tambah parah
Erwin Djadjad,1,2021-02-11 13:19:14,"Respond dari CS untuk verifikasi terlalu lama dan belum ada follow up. Semoga bisa menjadi perhatian, terimakasih."
Rini Hidayah,1,2021-02-10 23:44:19,"Maaf min, saya kasih bintang satu kenapa sekarang populix berbeda dari yang dulu malahan akhir² ini saya sering tidak dapat studi mingguan pasti studinya langsung habis. Kalau lama² seperti ini saya bakalan uinstal apk ini"
Napbella Putri Zeylabiba,2,2021-02-10 19:05:54,"Aplikasi ini dulunya bagus dan saya sudah pernah melakukan penarikan satu kali. Tapi saya kasih bintang dua untuk sekarang, dulunya saya kasih bintang lima. Sejak adanya perubahan kebijakan, studi hanya bisa di klaim sampai minggu ke-10 sedangkan setiap harinya saya tetap ikut polling tapi tidak mendapatkan apa-apa. Saya sebagai pengguna lama sedikit kecewa dengan kebijakan barunya. Semoga dapat diperbaiki lagi untuk kebijakannya. Terimakasih"
EFerz Gaming,4,2021-02-10 15:52:44,"Keren sih appnya ga rumit, ( tapi ko saya gapernah lagi dpat studi yang mengahasilkan imbalan reward point, cuman dapat studi poling doang ) gimana mau nambah riward biar bisa redeem Min klo gni.... Mohon responnya min (makasih)"
Yoga Dewa,5,2021-02-10 13:20:20,"Setelah update Versi 2.2.0 saya tidak bisa isi polling harian...? Gimana caranya saya mendapat study mingguan kalo gitu...(edit : masalah sudah terselesaikan, terimakasih Populix)"
Punya Hendri,1,2021-02-09 05:39:32,Min min.update populix terbaru 👎👎👎parah ngak dpt reward rupiah.gue udh 8 bulan min main di apk ini.penghasilan Rp 40.750 selama 8 bln .bayangkan udh mau hampir setahun.min kalau kayak gini banyak org unistal.populix parah.masa kalah Ama apk sebelah.kayak apa mau maju.parah parah sakit covid apk populix....😲😲😲😲😲😲.kalau udah sehat nanti gue tambah bintangnya jd 5 bintang...... .
Jemmy Alan Candy,5,2021-02-08 10:52:25,"Aplikasi yang cukup bermanfaat, selain dapat bayaran sekaligus juga kita bisa memahami diri kita.."
Istika Murni Istika Murni,1,2021-02-08 07:45:00,"Lumayan bagus, tapi ngumpulin duitnya lama banget. 15 hari baru dapat 1000 sampai 2000 gimana tuh"
Dwi Sangati,1,2021-02-07 14:35:57,"Kenapa sekarang setelah menyelesaikan studi tidak bisa mengeklaim studi mingguannya ya, popquest nya juga tidak bisa dimainkan kalau tak ada teman menggunakan kode referral milik saya, studi dataset yang diberikan juga tak selalu ada, kalau begini jadi lebih sulit lagi mendapatkan uang dari aplikasi ini"
Broger,1,2021-02-07 09:12:26,"Maaf saya turunkan bintang. Alasannya saya tidak bisa mengklik pertanyaan dari populix. Tetapi kalau popquest dan yg untuk mengundang teman itu tidak masalah. Yang jadi masalah saya hanya pertanyaan2 dari populix yg tidak bisa saya klik untuk masuk, saya sudah mengklik berulang kali sampai merestar hp saya juga tapi sama saja tidak bisa di klik. Mohon di tindak lanjuti. Nah penarikan juga tidak bisa. Saya mau ambil 30000 potongan 5000 setelah klik eeh malah di tulis maaf tidak bisa."
Tyo Prastyo,1,2021-02-07 02:46:47,Hadiah kecil ditambah pembaharuan yg gak jelas.. Study mingguan gak bisa di claim malah suruh main game dan harus ngajak orang gabung baru bisa dimainin gamenya
Dandy Ramadhan,1,2021-02-03 04:20:45,"Setelah ada sistem popscore jadi ga jelas, survey tiap minggu dikerjain tapi nilai popscore ga pernah naik"
Rizki Fauziah,5,2021-02-01 05:49:53,Aplikasi dengan UI&UX yang mudah dimengerti dan nyaman digunakan. Semoga kedepannya aplikasi ini makin berkembang dan semakin banyak survey untuk user setiap harinya. Thanks 😁
dani kurniawan,1,2021-02-01 03:06:54,"Maaf...terpaksa saya bintang 1 karena setelah update versi 2.20 , saya tidak mendapatkan study mingguan,padahal saya telah menyelesaikan survey harian sesuai target minimal untuk mendapatkan study mingguan.Selain itu games populixnya gk bisa dimainkan.. Bahkan dalam perasalahan saya ini telah saya tanyakan ke admin populix,tp jawaban yang saya dapat tidak memuaskan.."
Awan49TV,1,2021-02-01 01:05:35,Saya sudah menyelesaikan studi 2 x tapi tidak ada reward dari balik dan nomer wa yang dihubungi juga gak bisaa mohon kejelesanya kao tidak saya akan beralih ke aplikasi laen
Vegi Pira Lestari,3,2021-01-29 03:00:28,"Maaf yaa kok kenapa aplikasinya keluar sendiri padahal saya ga ngelogout? Trs saya coba masuk akun kembali ko servernya error ? Tolong tindak lanjutnya dan tolong untuk tanggung jawab nya , terimakasih"
Baimen Tangsen,5,2021-01-27 03:16:33,"Aplikasi yang bagus untuk mengisi waktu luang, juga bisa mengasah konsistensi dalam menjawab pertanyaan. Terimakasih"
Nurul Vikyazizah,1,2021-01-25 16:46:03,"benar membayar si, tp masa 1 minggu kerjain poling cuma dapat 1000k/500k kapan terkumpulnya klo kaya gitu..saya nyerah uinstal aja"
Senjariee,5,2021-01-21 12:45:08,"Kok sekarang gabisa dibuka yaaa kenapa nih,pdhl udah saya perbarui kenapa malah gabisa di buka sekarang, tolong developer benahin masalahnya"
Arief Mrz,1,2021-01-19 17:23:07,"Kirain nyaman memakai aplikasi nya ehhh tau taunya ga nyaman, masa udh masuk minggu kedua tau taunya pas buka aplikasi suruh isi data balik seperti pas daftar, selesai isi data ehhh malah kembali ke awal banget gada reward sama sekali, yg udh terkumpul pun hilang, kalo niat buat aplikasi ga gini caranya, kalo niat y gada kendala apa apa, kecuali bug wajarlah dalam sebuah aplikasi, apalagi aplikasi baru berkembang, tapi saya kurang senang dengan aplikasi ini"
Miftah Hidayat,2,2021-01-18 14:05:02,"jangka waktu ke penarikan terlalu lama, karna reward sedikit, lama2 jadi monoton, coba dong buat admin tambahin lagi reward besar nya"
Yohanes Andhika,3,2021-01-16 13:02:40,"Sudah cukup bagus aplikasinya,real membayar. Tetapi survey dengan bayaran yg besar sangat jarang sekali,1 bulan sekali blm tentu ada. Hanya survey mingguan dan mendapat Rp.1000,sangat lah kecil. Saran untuk tarik dana kalau bisa di tambah melalui (DANA,OVO,GO-PAY,DLL)."
Wandi Motaby,3,2021-01-16 06:16:15,"Sip.. memang membayar,, FIX...!!! Kalau boleh saran : √. WD pakai PULSA ••• √. Kalau tidak bisa pakai PULSA, setiap minggu ada survei PlusPlus buat nambahin saldo,, Biar gak monoton juga lama nambah saldonya,, Sebelum pelanggan kabur ke aplikasi lain... Jika artikel ini membantu silahkan klik YA supaya developer mempertimbangkan... Trims,, salam sukses"
Melani Pky,5,2021-01-16 00:26:17,"Sangat berguna untuk kita yang ingin mendapatkan penghasilan tambahan, caranya pun sangat mudah. 👍👍👍👍👍"
Harzelia,5,2021-01-15 08:55:58,"Aplikasinya sangat bagus dan gampang ngerjainnya , suka banget sama aplikasinya dan pelayanannya juga ramah."
Faradila Mubin Raja Dewa,4,2021-01-15 04:42:52,"Sejauh ini alhamdulillah masih aman, hanya saja saran dari saya mungkin reward surveynya bisa ditambah lagi nominalnya (lebih dari Rp. 1000). Itu saja dan sukses selalu.."
Novia Nabilla,1,2021-01-13 16:14:00,"Mohon maaf bintang yg saya berikan, karna aplikasi ini suka keluar""an sndiri saya padahal udh lengkap tapi kenapa ga bisa masuk . Tolong dong"
Herlina Putri Prastiwi,2,2021-01-12 22:18:06,"Apk nya lumayan bagus. Tapi apakah apk sengaja mengurangi pertanyaan poling, supaya tidak bisa menarik dana. Dan saya ketika mengunggah screenshot dari lazada dan shopee malah ada yang tidak terbaca. Tolong sportif dan jujur 🙏"
Winni Astary,5,2021-01-11 06:06:26,"Aplikasi survey favorit aku. Buat yang mau dapet tambahan jajan, aplikasi survey ini cocok banget. Aplikasinya beneran ngebayar langsung waktu redeem dan surveynya juga banyak jadi dapetnya hasilnya lumayan banget^^"
Linjana Awalia Putri,5,2021-01-11 04:54:18,"Aku baru beberapa bulan ikutan Apk ini dan udh 3x ikutan giveaway , Alhamdulilah yg terakhir dapet giveaway nya senilai 500k.. Terimakasih populix gk nyesel deh gabung di Apk ini 😘😘"
Tri Hadi Cahya Nugraha,5,2021-01-11 04:19:42,Alhamdulillah bisa dapet penghasilan dari sini. Semangat selalu developer buat ngembangin aplikasinya jadi lebih baik lagi
joy selon,1,2021-01-11 03:10:51,App survey terburuk yg pernah saya ikuti.harus absen setiap hari mengisi polling yg tak berkualitas.lewat satu hari ketinggalan misi yg dibayar rp.500-1000. Perak perMinggu.Sungguh disayangkan Harus lebih banyak belajar lagi kayanya Populix.dari yg sudah Ada..
Ritchael Ch.,2,2021-01-10 12:10:00,"Gabisa isi nomor hp, app nya error, developer nya kenapa ini? Tolong cepat diperbaiki"
Aminuddin Lathif,2,2021-01-10 09:22:13,"screenshot marketplace ga kebaca, ngisi studi gabisa di pause. otomatis ditolak kalo keluar aplikasi pas ngisi studi"
sarda ramadana,1,2021-01-10 03:29:54,Ini kenapa saya gak bisa verifikasi nomor telepon yah. Selalu muncul terjadi kesalahan pada sistem kami silahkan coba lagi. Itu gimana yah. Saya gak bisa isi survei kalau kayak gini
Muhammad Aris,1,2021-01-09 01:37:34,"Aplikasi haram, data udh dikirim semua, udh verifikasi, besoknya login ulang, pas login Email tidak terdaftar WTF!!!"
LMardiyah Official,4,2021-01-08 18:14:52,"Aplikasinya real membayar, dan seru namun kalau bisa sih studinya seminggu 2 - 3 kali. Thank you. Sukses terus untuk pppulix"
umar oemarMS,4,2021-01-06 05:53:02,"untuk di home, tombol back tidak bisa berfungsi untuk keluar dari apk, jadi harus tombol home, sepertinya akan baik jika bisa keluar apk dengan tombol back"
Kholifah alhimjarry,3,2021-01-05 11:50:15,Ink gimana ya sudah mau studi tapi pas upload bukti orderan gagal terus padahal carany sudah sama...kalau gini kapan studi mau di riset😑
tini robaka,4,2021-01-05 11:43:01,Aplikasi termudah menjawab survey dan mendapatkan uang.tidak perlu lama2 mengisi survey.paling lama cuma 5 menit.good ❣👏👍
Teguh Budiarto,5,2021-01-05 09:41:38,"Aplikasi keren, cuma masih sering keluar sendiri sewaktu mengisi kuesioner, dan sering delay, mungkin hanya bugs, biasalah dalam aplikasi"
Dewa Yudha,3,2021-01-05 00:42:47,Tolong diperbiki untuk studi dataset marketplacenya masak saya sudah uploud screenshot transaksi sesuai ketentuan masih salah juga padahal udah jelas2 tertera di informasi produknya lengkap tapi masih aja kurang periode pemesannya lah kurir nya lah mohon tolong diperbaiki
Dedek Harmadi,5,2021-01-04 15:47:56,"Apknya bagus terbukti membayar minimal penarikan 15k tapi klo tarik di bawah 50k potong pajak 5k, untuk ngumpulin uang nya harus sabar ya terus jawab survey dengan jujur dan bersungguh-sungguh agar dpt survey terus dan pop scorenya gk berkurang"
Rokmanul Hakim,1,2021-01-04 06:06:56,Aplikasi nya SH bagus bisa dapat uang Tapi cara mendapatkan studi nya lama banget deh 😶😐
ilham_ synyster,4,2021-01-04 05:40:23,gimana ya cara daftar.untuk ktp yang tidak terdeteksi admin / terverifikasi
Xutep,5,2020-12-31 18:47:54,"Mantap terbukti membayar tapi yaaaaa receh, semoga kedepannya imbalan survey nya bisa lebih besar"
Ade Widodo,5,2020-12-29 21:29:08,"Good . . . Benar survey yang membayar, namun terlalu lama untuk dapat claim hasil survey nya. 😭😭"
Wida Khoiriyah,1,2020-12-28 09:06:49,"Maaf ya aku kasih bintang 1, soalnya pas penarikan dana lama banget loadingnya, terus aku klik 2 kali aja. terus jadinya poin yg aku dapet setelahnya, di kurangi gitu ke dana yg udah ke tarik 2x. tapi uangnya blm ada yg sampe, sampai skrng. Tolong responnya admin🙏🏻 solusinya gimana. Berminggu² aku isi survey ini masa uangnya ga sampai."
rio Nugroho,1,2020-12-28 06:00:06,"seminggu cuma dapet studi satu itupun cuma berduit seribu rupiah, itupun dibatesi waktu klo ketinggalan gak dpt studi. 😴"
Nurul Khotimah F,3,2020-12-28 03:08:56,"Setelah di update, ko kaya jadi kurang nyaman ya? Karena polling hariannya jadi isi manual. Lebih nyaman seperti sebelumnya yg tinggal pilih aja sih."
Melisa Susanti,1,2020-12-26 04:11:09,Sangat kecewa uang udah 10 ribu tiba2 logut sendiri dan ga bisa masuk lagi
Ratna Puspita,1,2020-12-23 05:14:41,"Aplikasinya lumayan bagus. Tapi ngumpulin uangnya lama. Awal-awal dapet 5000 tapi setelah itu cuma dapet 1000, 2000, bahkan pernah cuma dapet 250 doang. Btw saya sudah pake aplikasi ini sekitar 3 bulanan dan sampe sekarang baru dapet 20.250. Emang lama.. Tapi buat yang suka ngisi-ngisi survey. Ini bisa sih buat seneng-seneng aja gitu. Maaf bintangnya saya kurangi, ga tau populix lagi kenapa? Sekarang ngisi pollingnya susah. Kadang juga ga bisa ngisi."
Jelita wati,5,2020-12-22 18:04:44,"Suka karna seru isi survei, bisa memberikan informasi ke org lain dan dapet feedbacknya juga sama2 menguntungkan. Serulah"
ali nurman,5,2020-12-22 15:25:17,"Lumayan buat nambah penghasilan, sdh berhasil cair dan sekarang applikasinya lumayan cepat"
Nona Rusli,1,2020-12-22 11:39:44,payah... Iming.a harian tapi mingguan. itu pun gx jelas. kadang bisa kadang engga. mau uplod foto aj susah. aplikasi belum sempurna ini. gx bisa baca data di hp. programmernya kurang ngopi kayak.a ini ...
Felicia Chan,1,2020-12-20 09:44:26,"Nyari uang susah di populix 17 minggu main populix baru dapet 19000 itu pun ada rp 1000 yg hilang entah keman, gw maen rakuten 4 hari udah dapet 50000 , , milieu 1 bulan 50 ribu, populix ampas nih.. Poin dikit 1 minggu 1000 itu pun kadang2 cuman di kasih 500 malah ada juga yang poin hilang sendiri...."
Iqbal Al Hakim,1,2020-12-19 21:49:31,"ada apa nih sm populix??saya sudah kerjakan survey minggu 11 tapi reward gak masuk ke total saldo,biasanya sehabis kerjakan survey selalu ada notif sedang diperiksa dan diemail pun ada notif reward,tapi sekarang aneh gk kyk minggu2 kmrn..oia fitur score juga aneh,saya konsisten sllu isi prtanyaan malah score turun dari 100 ke 80..aneh.."
Reksita Wardani,2,2020-12-19 10:34:59,Setelah update malah jadi makin sulit klaim studi. Selalu server error. Reward studi juga bahkan ada yang tidak masuk. Tolong segera diperbaiki.
rahmatul azizah,3,2020-12-18 18:26:24,"Studi nya keluar di tengah jalan, padahal tinggal dikit lagi, kalo masalah jaringan jelek gamungkin org sinyal saya bagus2 aja, tolong diperbaiki lagi, kalo masih gini saya turunin bintang jadi 1!"
Gunawan Official,1,2020-12-17 11:18:01,"Kenapa ya pas mau melakukan poling, tiba"" keluar sendiri aplikasinya?? Tolong dong developernya diperbaiki aplikasinya"
Lukman nilhakim,5,2020-12-16 14:45:05,Aplikasinya bagus banget kalo bisa jangan pelit kasih misi /survey y yah admin biar bisa wd hehehehe smoga makin sukses Populix 😘
PGA 7,1,2020-12-16 04:16:37,"Diupdate malah force close? Haduh.. Bingung gua sampek2 tulisannya inkompabilitas? Masa cuma apk gini tdk kompatible dg hp saya, udh tak hapus datanya juga semua mau masuk lg mash sm force close"
AGUNG FRANSISYANTO,1,2020-12-15 10:38:56,"Sangat kecewa saya dngan apk ini percuma udah 3 minggu tapi popcore nggak naik nggak turun,.udah saya percaya tapi malah gini mending playstore hapus aja apk ini."
Dainur Pribadi Carnadi,1,2020-12-11 17:20:13,"Tadinya saya kasih bintang5 krn bagus tp sekarang sangat mengecewakan saya kasih bintang1, g tau ini populix lg kenapa y? Pake sistem penilaian popscore, saya selalu ngisi polling mingguan dan isi survei mingguan, jawaban selalu konsisten pula tp popscore saya kok tiba2 jd 50%? Tolong dong diperbaiki, saya liat ulasan yg lain jg banyak yg mengeluhkan hal yg sama. Belakang ini populix jg ngandelin bgt dari survei mingguan yg rewardnya maksimal 1000??"
David “Dave” Gunawan,1,2020-12-11 00:00:24,Maaf kalian mengecwakan... Dear admin jgn seenaknya nurunin popscore dong.. Gw gak ngerti kesalahan gw apa gw login tiap hari jawab sesuai dengan apa yang yg sy alami kok popscore jadi 30 bigitu aja.. Kalau ga niat ngasih reward bialang lah biar uninstal aplikasinya.. Ini main nurunin popscore aja tanpa penjelasan.. Parah kalian ...
Angga Prasetya,1,2020-12-09 08:11:05,"Aplikasi populix aneh, sesukanya saja menurunkan popscore saya, semalam masih 100%, kenapa hari ini sudah 60%, saya jwb jujur, apa lbh senang di kasih jawaban bohong ya. Jawaban nya pasti 'itu sistem pak, secara otomatis yg menilai sistem' jawaban klasik."
Go Sandi,4,2020-12-09 00:39:50,Sepertinya menarik dan dapat dijadikan aktivitas tambahan untuk membantu mengisi survey dgn baik. Klo kedepan makin bagus bintang 5 siap ditambahkan.
Nadila Aulida,2,2020-12-06 22:55:28,"Sebenarnya ini aplikasi beneran terbukti. Saya baru aja wd dan bneran masuk ke ovo saya. Cuman yg sangat disayangkan, butuh waktu yang amat lama agar bisa dapetin Rp15000. Saya mengisi survei ini hampir 3 bulan lebih. Not recommend lah serius cape nunggu nya"
Rosa Faresta,2,2020-12-04 16:47:12,"Sorry min semenjak ada fitur score bikin saya kecewa, score saya 97 jadi 70 padahal saya selalu isi polling dan jawab jujur dan konsisten. Dan jugaa kadang akun saya juga kadang sering keluar sendiri dari apknya🙂"
Vero Monica,1,2020-12-04 05:17:30,"Saya udh isi polling tiap hari tapi pas ambil studi mingguan nya ga bisa ,padahal sebelum di updated lancar lancar saja ,kecewa"
Yukina Chanchama,1,2020-12-04 00:51:08,"Dlu bagus, tp skrg gk bnget. Masa kita udah ngisi semua form, pas mauklaim studi mingguan ada kuotanya. Jgnbkin apps kalo dimodel gni. Gk adil lah nmnya,dikira lomba apa gmn. Aku uninstal jdnya. Bete"
ninda _,1,2020-12-03 22:13:33,"Mau ikut survey kuota penuh, baru mau mulai.. Gimanasi padahal baru upgrade apk nya"
devi anggraini,2,2020-12-03 15:56:45,Sy udh daftar 2x sampe ganti email dan masalahnya sama karna foto KTP sy blm diverifikasi entah apa masalahnya. Sy coba nyari n tanya ke sistem support nya by wa help center jg ga bisa. Ga tau lg mo nanya kemana.
Sabam Benny,5,2020-12-03 13:17:56,"uinya sangat menarik, pengisian survey juga terbilang mudah."
Jonathan Ahmad,1,2020-12-02 14:20:49,"Sejak update ada fitur Popscore nya ini aplikasi makin tak jelas. Yang komen disini juga banyak yang mengeluh. Salah satu yang saya alami adalah perfoma saya tiba² turun. Padahal saya tak pernah absen, dan saya tak pernah asal²an mengisi studi & polling."
Elsha Asmarani,1,2020-12-02 00:26:01,Edit. Banyak error CS WA kurang membantu. Study dikit banget. Sekali upload error ngga ada solusinya dr pihaknya. Mana study masih diproses mulu padahal udah lama. Auto ...
Mya Chairunisa,1,2020-11-30 04:11:30,"Kenapaa populix sekarang sering ada notif email masuk utk mengikuti survey dapat point sekian. Tapi ketika dibuka di aplikasinya ""maaf anda tidak dapat mengikuti survey ini"" . Kalo gitu jgn kirim notif ke email aja sekalian"
Rina Herlina,5,2020-11-27 10:22:38,"Sip.. Meski lumayan lama,, tapi.. aplikasi ini bener2 membayar.. Kalau bisa,,, setiap hari ada uang *Daftar Hadir* harian biar nambah2 penghasilan Thanks"
Novriandi Ramdani Pratama,1,2020-11-26 18:38:17,"Mohon ma'af pihak developer🙏 saya sangat kecewa berat karna saya dapat 15.000 poin dalam 3 bulan, 12 minggu tapi stelah update ada fitur Scorenya disitu kecewa saya jawab dengan pasti rutin malah scorenya tidak naik- nail Slow, ketika saya jawab tanpa sengaja langsung turun scorenya, lebih bagusnya jangan pakai score mind :) & mohon atas patisipasinya"
Ukhty Nisa,1,2020-11-25 14:42:00,Aplikasi apaan coba tiap minggu popscore makin turun padahal saya gak sama sekali kelewat isi studi polling dan kalo ada studi selalu jawabnya jujur😡makin males kalo gini mah langsung aja uninstall aja lagian uangnya gk bisa di cairin
h2o channel,1,2020-11-24 05:23:00,Apa Saya uninstal aja y ngapain coba seminggu cuma dapat 1000 perak. Gimana mau dapat 50rb survey aja gk pernah. Mending main di survey sebelah lumayan lah sehari dapat 1$ kadang kalau rejeki bisa 2$ langsung ke paypal kita habis survey langsung ditransfer tanpa menunggu berjam jam. Tolong di perbaiki banyak orang yang rugi.
IdaRahma .w,5,2020-11-23 03:27:10,"Aplikasi ini benar terbukti membayar,saya udah pernah redem dan langsung masuk suka banget deh pokoknya💜💜"
Mbahjan Wae,1,2020-11-22 22:14:39,Bintang 3 sy cabut ajah ah jd bintang 1dulu...app ini gmn mksud dan tujuanya..tiap hari rajin ngisi poling tak gak ad hasilnya...min kalo blm siap untuk upah ya lbih baik cabut ajah kasian ini yg sdh melksanakan poling dpt upah sangat2 minim.
Baby Shalitta,2,2020-11-22 03:41:14,Populix sekarang udah gak sebagus dlu. Ada popscrore segala. Survey harus konsisten. Ya kali pertanyaan yg berbulan2 lalu tentang rencana liburan trs ditanyain lagi trs jawaban beda langsung dpt pengurangan score. Mmng orng gak boleh ubah rencana apa -.-
Thera Elim,5,2020-11-21 16:33:16,Belakangan semakin lama semakin jarang untuk dapat quiz tp semoga semakin ditingkatkan🙏
Fatimah Azzahra,5,2020-11-19 22:43:47,"Parah aplikasi ini sangat berguna dan bermanfaat, sangat membantu dengan memberikan rivew jujur dan bermanfaat kalian harus wajib download dan coba aplikasinya sendiri"
Lin DunDut,4,2020-11-17 03:24:11,"Hai, Populix. Saya mau bertanya, kenapa ya setelah di update, setiap kali masuk ke app populix loading'a lama banget ya? Bahkan ga masuk2, stuck d gambar unicorn. Padahal sinyal internet bagus. Terima kasih."
Cahyo Isnanto,3,2020-11-17 00:39:23,Diharapkan menjadi survey online yang mampu menjadi terbaik di era 4.0 ini dengan menambah banyak survey sehingga rupiah yang didapat juga besar.
Lemon To,1,2020-11-13 17:37:21,"Aplikasi ini membayar nggk sih, capek"" ngumpulin saldonya tiba"" nggk bisa wd, bayangin gua udah maenin aplikasi ini 4 bulan cuman dapat 18ribu sabar nya bukan maen😌"
Natalia Reza,2,2020-11-13 05:29:55,Kenapa kok pas nge foto ktp selalu gagal katanya data tidak sesuai padahal udah sesuai banget ?
risky nuraeni,1,2020-11-12 22:41:45,"Gila lama banget ngumpulin uangnya, masih kalah gercep sama apk yg lain. gua udah 2x wd 2apk lain dan uang nya masih nyampe 30.000 ribuan. lama lama bikin kesel. tolong tingkatin reward nya. masa dalam 1 miinggu kadang dapat 1000(jarang) atau 500 perak."
RW 08 Margasari,1,2020-11-12 03:20:47,"Saya udah 5 hari daftar blum ada studi2,hampir seminggu uangnya cuma 3.750...... katanya dibayar 5000 diawal ,nyatanya 2.500 .ada pertanyaan katanya 1000 ga tau nya cuma 500 .ga sesuai ekspetasi"
Arsika Bunga Nashatra,3,2020-11-11 14:51:29,Alhamdulillah apk sdh diperbaiki seperti dlu.. Mungkin mendapatkn uang nya ckp sulit karna perminggu di bayar 1rb-2rb.. Tolong dibperbaiki lagi ya.. Saran setidaknya per minggu 5rb. Sukses trs ya
Munginudin,2,2020-11-10 20:40:51,"Mantapp sekali app nya bagus,semoga lebih banyak lagi studinya..dan bisa tambahin lagi ntr bintang nya"
Ella Elarni,3,2020-11-10 18:24:24,"Aplikasi bagus, tpi lebih bagus lagi kalo Surveinya diperbanyak. Msa 1 hri, cmn 1 aja surveinya.. Gak sesuai yg dihrapkan"
Paulina Marsolina (Pau),5,2020-11-09 08:18:11,Sangat bermanfaat untik menambah wawasan dalam pelajar mau pun orang yang sedang mencari informasi
Jam 12 Siang,1,2020-11-09 07:36:34,"setelah update jadi makin pelit, mingguan 1000 saja dikurangi jadi 500 terus dengan alasan kualitas jawaban. mending pindah ke apk sebelah kalau kaya gini terus mah."
Syamil Karim,4,2020-11-07 11:39:31,"Bagus sih, beneran ngebayarin. Tapi buat yang pengen cepet2 dapet ini gak worth it banget, soalnya buat bisa ngeredeem lama banget."
Dewi Hermawaningsih,1,2020-11-06 18:19:02,"Awal2 surveynya byk, bisa tiap Minggu dpt. Makin kesini surveynya sedikit, padahal kita rajin isi tiap hari. Ga sampe 15 poin pertanyaan dlm 1 Minggu, padahal udah capek2 ngisi otomatis ga bisa klaim hadiahnya. Udh 2minggu ini saya diginiin sama populix. Udah sampe 12 poin tinggal 3 poin lagi tp ga muncul lagi pertanyaan. Ngulang lagi dari 0. Gausah install ini app NIPU!!!"
Iyus 231,5,2020-11-06 08:20:03,"Mantul dah nih amplikasi,, bener2 hebat ini doang amplikasi baru wd, ga ad 1 menit sung masuk duit nye ke rekening,, mantap dah, nyesel klo ga download"
Devi iskandar,4,2020-11-05 08:08:22,populix sangat kecil sekali imbalanya.1000 satu minggu.nunggunya lama.ngak sesuai.habisin waktu aja.aplikasinya miskin sekali.
Mahalia Caroline Silitonga,4,2020-11-05 06:09:33,Mau tanya ini bisa redeem ke e-wallet ga sih? Masa pas tambah rekening ga ada. Padahal saya baca bisa diredeem ke e-wallet
Zuliannn,5,2020-11-04 11:01:22,"Tolong tambahkan kode referral untuk mengundang teman agar mendownload apklikasi ini, dan juga berikan hadiah poin nya ketika teman sudah di undang. Terimkasih"
Ahris Pranando,2,2020-11-04 01:43:45,"Saya kecewa dengan aplikasi ini,dulu katanya akan ada hadiah tiap minggunya,eh tapi eh tapi hasilnya zonk.awalnya aja disenang senangin ,dikasih hadiah RP terus,dulu katanya kalau didownload dapat kupon rp 5000,ini 1 minggu baru dapat. Gimana min,tolong penjelasannya."
Sky Luke,1,2020-11-03 15:27:37,"App ini tidak bisa di harapkan, survei nya sedikit, seminggu cuma dapat 1 kali itu pun klo rajin isi polling. Sekali survey dapat 500-1000(klo ngisi survei nya jujur). Jadi klo mau dapat 50000 yahh coba itung aja bisa sampai setahunan.. gw udah 2-3 bulanan saldo nya baru 7750.. Lama"" malah bikin keselll..... Mending alihkan pikiran dan waktu nya untuk cari uang di dunia nyata saja.. buat yg mau instal di pikir"" dulu dehh.... Klo ga percaya silahkan coba saja ntar juga tau gimana real nya."
Bella mega Rahayu,5,2020-11-01 19:26:12,Aplikasinya bagus tapi sayang kalo udah ngisi beberapa gak bisa di lanjut malah di suruh tunggu besok
M D,5,2020-11-01 12:13:07,"Sudah terbukti membayar, dan proses penarikannya juga cepat. Akan lebih bagus apabila ditambah surveynya."
Fifi Novita,3,2020-11-01 02:23:17,"Tolong dong perbanyak studi nya, soalnya banyak yg minat kalo studinya di perbanyak dan insentifnya di tambahin, terimakasih."
Eron 83,1,2020-10-31 10:34:42,"Bitang 1 dlu, soalnya hadiah cuma srminggu dikasih 1000perak, kalah sama jajan anak"" perharinya, saran aja min ,survei hadiahnya ditambah lagi 5000 sminggu sekali ,biar ga ngebosenin."
Si Cantik,5,2020-10-30 22:49:41,"Dari pengenalan diri sampe menyelesaikan studi itu juga baru sekali total baru dapet Rp 6000. Studi yg lain masih belum tersedia. Ada hasil lebih nya lewat studi ih sih sekarang dapet 2,5 juta di akhir Oktober sampe tgl 9 November.. tapi bagi 5 orang yang beruntung"
Winter Bear,2,2020-10-30 15:43:15,"Gimana ya, dari dulu mah emang udh susah ngumpulin saldonya harus sabar bngt tiap minggu 1 ribu, 2 ribu pun cuma berapa minggu doang. Sekarang ditambah fitur popscore. Ya makin susah buat dapet saldonya. Itu pun popscore ku 1,5× cuma dpt 750 dr 1 ribu. Tambah lama ini dong?"
